     #time         x         v
    0.0000    0.0000    1.0000
    0.0100    0.0100    0.9999
    0.0550    0.0550    0.9985
    0.2575    0.2547    0.9670
    0.5044    0.4832    0.8753
    0.7606    0.6892    0.7243
    1.0274    0.8558    0.5168
    1.3077    0.9654    0.2599
    1.5879    0.9996   -0.0173
    1.8342    0.9652   -0.2604
    2.0804    0.8726   -0.4878
    2.3368    0.7204   -0.6931
    2.6039    0.5119   -0.8586
    2.8845    0.2541   -0.9668
    3.1651   -0.0235   -0.9992
    3.4116   -0.2666   -0.9632
    3.6580   -0.4935   -0.8690
    3.9147   -0.6979   -0.7152
    4.1821   -0.8621   -0.5053
    4.4631   -0.9684   -0.2464
    4.7441   -0.9988    0.0319
    4.9908   -0.9608    0.2748
    5.2375   -0.8646    0.5011
    5.4945   -0.7088    0.7043
    5.7624   -0.4971    0.8667
    6.0440   -0.2367    0.9707
    6.3256    0.0423    0.9981
    6.5726    0.2851    0.9574
    6.8196    0.5105    0.8586
    7.0770    0.7123    0.7003
    7.3454    0.8725    0.4863
    7.6277    0.9734    0.2239
    7.9100    0.9972   -0.0561
    8.1574    0.9531   -0.2986
    8.4048    0.8510   -0.5229
    8.6629    0.6894   -0.7227
    8.9320    0.4725   -0.8799
    9.2152    0.2077   -0.9768
    9.4985   -0.0735   -0.9959
    9.7464   -0.3156   -0.9473
    9.9943   -0.5384   -0.8408
   10.2531   -0.7357   -0.6750
   10.5231   -0.8890   -0.4542
   10.8076   -0.9808   -0.1864
   11.0921   -0.9937    0.0963
   11.3406   -0.9395    0.3378
   11.5892   -0.8275    0.5585
   11.8490   -0.6562    0.7523
   12.1202   -0.4307    0.9005
   12.4064   -0.1590    0.9854
   12.6608    0.0942    0.9936
   12.9153    0.3413    0.9379
   13.1698    0.5664    0.8217
   13.4243    0.7550    0.6526
   13.6959    0.9024    0.4260
   13.9824    0.9860    0.1537
   14.2363    0.9930   -0.0989
   14.4902    0.9363   -0.3451
   14.7441    0.8196   -0.5692
   14.9980    0.6503   -0.7568
   15.2699    0.4232   -0.9036
   15.5565    0.1505   -0.9863
   15.8101   -0.1017   -0.9924
   16.0637   -0.3474   -0.9351
   16.3172   -0.5709   -0.8180
   16.5708   -0.7578   -0.6486
   16.8427   -0.9042   -0.4211
   17.1295   -0.9863   -0.1482
   17.3828   -0.9920    0.1038
   17.6362   -0.9343    0.3491
   17.8895   -0.8170    0.5721
   18.1428   -0.6476    0.7585
   18.4149   -0.4200    0.9046
   18.7017   -0.1469    0.9863
   18.9549    0.1049    0.9916
   19.2081    0.3499    0.9336
   19.4613    0.5726    0.8162
   19.7145    0.7588    0.6466
   19.9866    0.9047    0.4189
   20.2735    0.9862    0.1457
   20.5266    0.9913   -0.1059
   20.7797    0.9332   -0.3507
   21.0328    0.8157   -0.5732
   21.2859    0.6462   -0.7591
   21.5580    0.4184   -0.9048
   21.8450    0.1452   -0.9861
   22.0980   -0.1063   -0.9910
   22.3510   -0.3510   -0.9327
   22.6041   -0.5733   -0.8151
   22.8571   -0.7591   -0.6456
   23.1293   -0.9047   -0.4177
   23.4163   -0.9859   -0.1445
   23.6693   -0.9907    0.1069
   23.9222   -0.9324    0.3514
   24.1752   -0.8148    0.5736
   24.4282   -0.6453    0.7592
   24.7004   -0.4174    0.9047
   24.9874   -0.1442    0.9858
